"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","0",0,FALSE,"missing_pct",44.1184176054493
"20250913_FJ_QZ_Q4","Control","0",0,FALSE,"missing_pct",37.5425727010741
"20250913_FJ_QZ_Q12","Control","0",0,FALSE,"missing_pct",47.0002619858528
"20250913_FJ_QZ_Q13","Control","0",0,FALSE,"missing_pct",50.4584752423369
"20250913_FJ_QZ_Q14","Control","0",0,FALSE,"missing_pct",36.4684307047419
"20250913_FJ_QZ_Q15","Control","0",0,FALSE,"missing_pct",40.450615666754
"20250913_FJ_QZ_Q16","Control","0",0,FALSE,"missing_pct",48.9651558815824
"20250913_FJ_QZ_Q18","Control","0",0,FALSE,"missing_pct",41.4985590778098
"20250913_FJ_QZ_Q20","Control","0",0,FALSE,"missing_pct",38.0141472360493
"20250913_FJ_QZ_Q21","Control","0",0,FALSE,"missing_pct",42.703694000524
"20250913_FJ_QZ_Q22","Control","0",0,FALSE,"missing_pct",39.586062352633
"20250913_FJ_QZ_Q23","Control","0",0,FALSE,"missing_pct",45.952318574797
"20250913_FJ_QZ_Q25","Control","0",0,FALSE,"missing_pct",38.0403458213257
"20250913_FJ_QZ_Q26","Control","0",0,FALSE,"missing_pct",40.8959916164527
"20250913_FJ_QZ_Q27","Control","0",0,FALSE,"missing_pct",37.6735656274561
"20250913_FJ_QZ_Q28","Control","0",0,FALSE,"missing_pct",42.5465024888656
"20250913_FJ_QZ_Q29","Control","0",0,FALSE,"missing_pct",41.8915378569557
"20250913_FJ_QZ_Q31","Long exposure","0",0,FALSE,"missing_pct",45.6117369662038
"20250913_FJ_QZ_Q32","Long exposure","0",0,FALSE,"missing_pct",43.4634529735394
"20250913_FJ_QZ_Q33","Long exposure","0",0,FALSE,"missing_pct",45.3759496987163
"20250913_FJ_QZ_Q34","Long exposure","0",0,FALSE,"missing_pct",44.69478648153
"20250913_FJ_QZ_Q36","Short exposure","0",0,FALSE,"missing_pct",39.8218496201205
"20250913_FJ_QZ_Q37","Long exposure","0",0,FALSE,"missing_pct",46.1095100864553
"20250913_FJ_QZ_Q38","Short exposure","0",0,FALSE,"missing_pct",47.078857741682
"20250913_FJ_QZ_Q39","Long exposure","0",0,FALSE,"missing_pct",42.9394812680115
"20250913_FJ_QZ_Q41","Long exposure","0",0,FALSE,"missing_pct",32.5386429132827
"20250913_FJ_QZ_Q42","Long exposure","0",0,FALSE,"missing_pct",45.2449567723343
"20250913_FJ_QZ_Q44","Short exposure","0",0,FALSE,"missing_pct",49.4367304165575
"20250913_FJ_QZ_Q45","Short exposure","0",0,FALSE,"missing_pct",46.5024888656013
"20250913_FJ_QZ_Q48","Short exposure","0",0,FALSE,"missing_pct",55.5933979565104
"20250913_FJ_QZ_Q49","Short exposure","0",0,FALSE,"missing_pct",37.3067854335866
"20250913_FJ_QZ_Q50","Control","0",0,FALSE,"missing_pct",41.0793817133875
"20250913_FJ_QZ_Q52","Short exposure","0",0,FALSE,"missing_pct",47.6552266177626
"20250913_FJ_QZ_Q54","Control","0",0,FALSE,"missing_pct",46.8954676447472
"20250913_FJ_QZ_Q55","Control","0",0,FALSE,"missing_pct",43.9350275085145
"20250913_FJ_QZ_Q57","Control","0",0,FALSE,"missing_pct",44.9305737490176
"20250913_FJ_QZ_Q58","Short exposure","0",0,FALSE,"missing_pct",46.1357086717317
"20250913_FJ_QZ_Q59","Short exposure","0",0,FALSE,"missing_pct",38.2499345035368
"20250913_FJ_QZ_Q60","Short exposure","0",0,FALSE,"missing_pct",47.3932407649987
"20250913_FJ_QZ_Q61","Control","0",0,FALSE,"missing_pct",47.4980351061043
"20250913_FJ_QZ_Q62","Control","0",0,FALSE,"missing_pct",28.2944720985067
"20250913_FJ_QZ_Q63","Control","0",0,FALSE,"missing_pct",42.0487293686141
"20250913_FJ_QZ_Q65","Control","0",0,FALSE,"missing_pct",45.559339795651
"20250913_FJ_QZ_Q66","Short exposure","0",0,FALSE,"missing_pct",37.5163741157977
"20250913_FJ_QZ_Q67","Short exposure","0",0,FALSE,"missing_pct",44.69478648153
"20250913_FJ_QZ_Q68","Control","0",0,FALSE,"missing_pct",47.2360492533403
"20250913_FJ_QZ_Q69","Control","0",0,FALSE,"missing_pct",56.2483625884202
"20250913_FJ_QZ_Q70","Control","0",0,FALSE,"missing_pct",38.3809274299188
"20250913_FJ_QZ_Q71","Control","0",0,FALSE,"missing_pct",39.8218496201205
